turqoise82,"dr update awal smpi terbaru, tetap tdk bs buka.. uninstall smpi install lg, tetap tdk bs buka.. no hp n email jg tdk bs buka"
putri.asss,"Min di wa ngapa malah ga bs jawab, di tlp ga dijawab. Trs kami ini mau ngadu ke siapa? Trs no wa aduan buat apa? No tlp aduan buat apa?"
kakangprabu_adityavandra,"Min, saya mencoba tambah peserta untuk ayah saya yang sudah berusia 90 tahun, beliau sudah empat kali vaksin (sampai booster 2), di aplikasi lama semua sertifikat muncul, namun di sini tidak muncul karena pada saat entry tanggal lahir defaultnya hanya sampai tahun 1945.. sedangkan beliau sudah 90 tahun.. bagaimana ini??? @pedulilindungi.id @kemenkes_ri @pusdatinkemkes @dtokemkes"
watasiwaviva,"@jokowi pak lihat nie @kemenkes_ri parah banget bikin aplikasi diupdate bukan makin bagus malah semakin parah. Gak bs masuk aplikasi, gak ada notif sertifikat booster ke 2. Saya mau pergi jadi susah ini paaaaaakkkk @jokowi"
aarun_shah,deuh.....aplikasi koq sering error. sering gak bisa dibuka alias keluar sendiri. kalo belum siap aplikasinya jangan diluncurkan !
zenis_syah,"Mohon maaf sebelumnya Saran kalo emang aplikasi nya masih ada gangguan atau error tolong di kasih informasi dan solusi nya biar yang lain gak kebingungan, sertifikat saya gk muncul udah nanya di dm pusat bantuan tapi gak ada respon"
hadi.ali57,Sudah di update malah gak bisa di buka. WA nya juga begitu di suruh nunggu terus maaf petugas kami saat ini tidak bisa melayani anda.
fushira2012,"Kalau mau migrasi tolong pastikan sudah free bugs donk min jangan terlalu dipaksain, mau cetak kartu vaksin malah gagal muat terus"
mariastutidwi,Ayooo.. jawabannya apa yaaa kalau ngak bisa loging
renoamanda2,"Aplikasi gak bisa dibuka, stuck ditampilan awal, gak ada perintah dan arahan. Dari pertama update lho, coba yg tau solusinya dong, udh hubungin wa tapi gak ngebantu sama sekali"
ajk08ajk,Gk usah promo ini itu lah.. Urus tuh aplikasi sampahnya.. Malah gk bisa di buka sama sekali.. Aplikasi busuk..
darsinih_fa,"Sertifikat vaksin booster 2 ngga ada min, gimana nih padahal penting bgt @pedulilindungi.id"
riqira68,"Saya coba input data anak ke 2 dan yg ke 3 tdk bisa notifnya data tdk ditemukan, sewaktu masih PL bisa dan data memang diinput di no telp saya, padahal satu sehat bs claim 6 sertifikat,saya juga sdh WA disitu tdk ada pilihan kendala saya, berulang mencoba tdk ada pilihan yg mau dipilih sesuai kendala,mohon arahan nya"
ellia_28,"Min , balik ke aplikasi pedulilindungi aja deh.  Susah bgt ini .cs ga bsa di hub cmn buang pls aja"
nnmpls_,Selamat pagi. Saya pradana mau bertanya. Aplikasi peduli lindungi saya setelah diupdate jadi otomatis terlogout. Dan diharuskan login kembali. Sedangkan nomor telepon yang lama kartunya sudah nonaktif. Jadi solusi agar saya bisa login kembali gmna ya?
rahulmaidifarma,Wa kemenkes kapan balas min?
tyswm85,Ticket vaksin booster saya jadi hilang.😢 Mau vaksin jadi ga bisa😢😢😢
imel_wyn,MIN TIKET VAKSIN GA MUNCUL GIMANA MAU VAKSIN. SERTIFIKAT BUAT SYARAT FLIGHT TRUS GIMANA????
dea.nasywa,"Klo no nik d gunakan orglaen, gimana bisa liat sertifikat vaksinnya? Anak saya dah 2 x vaksin, ga ada yg muncul sertifikatnya."
rossiepossie__,STUCK TERUS DI WELCOMING PAGE NIH UDAH 4 HARI  GIMANA SI?! KESEL DEH. MANA SABTU INI ADA FLIGHT
rossiepossie__,"APLIKASI SATUSEHAT SAYA SELALU STUCK DI LOGO AWAL, SUDAH COBA INSTALL–UNINSTALL TAPI TETAP SELALU GAGAL, SAYA SUDAH COBA SELAMA 4 HARI TAPI TETAP EROR. MOHON SOLUSINYA, KARENA SABTU INI SAYA AKAN ADA PENERBANGAN!!!!!SAYA HARUS BAGAIMANA?????"
fitri.yani1212,"Tolong aplikasi satu sehat Gk bisa di buka cuma ada tampilan satu sehat,klw bgtu mending kembali aja ke semula saja,biar di hapus dan download ulang tetap aja gk bisa,Gk jelas banget mempersulit klw bgtu,apa lagi klw mau berangkat kemana2 susah kan klw bgtu memakai satu sehat"
akusigith3,"Kalau untuk web gimana ceknya min, sedangkan web peduli lindungi sudah tidak bisa diakses ?"
mamaelasha,"Tadinya bisa di pake , karena sertifikat g muncul juga akhirnya saya coba uninstal dan instal kembali eh malah sekarang g bisa kebuka sama sekali 😢 segala cara yg disarankan di kolom komentar sudah di coba tetep g bisa juga , kirim emak sudah , kirim WA sudah bahkan sudah DM juga ke akun ini tapi semuanya no Respon !! Kalo begini kan namanya menyusahkan , sedangkan perjalanan harus menunjukan kita sudah di vaksin"
bidzblack,Sertifikat booster 2 sudah muncul min..
rahayuwiwin91,Sudah diperbaharui. Tapi tetep ga ada sertifikat vaksin anak. Gagal terus memuat..
lulueviandayani,knp sih gak siap banget padahal peduli lindungi gak ada masalah . sampe skr saya punya gak bisa jg
evri_simanullang,"@pedulilindungi.id aplikasinya tidak dapat dibuka, stack di tulisan SATUSEHAT, sudah dihapus cache dan cookies masih juga tidak bisa, dan di akun adik saya, semua kartu vaksin nya tidak ada serta tulisannya ""gagal memuat laman"". Tolong berikan tanggapan, penjelasan, serta solusi mengenai hal tersebut. Karena saat ini kartu vaksin tersebut dibutuhkan."
gustafbone,Mending dibenerin dulu aplikasinya.. kalo udah bener baru kasih tau tutorial-tutorial nya!
natapramudia,"Mau vaksin bosoter pertama di mana mana gak bisa dengan alesan sedang ada maintenance perubahan aplikasi dari peduli lindungi ke satu sehat,hadeh makin ribet aja🤦"
normansyah1989,Cuman promo kasih solusi dr kendala masyarakat tidak bisa?
igotthis_tumbl,"Kok ganti nama ? Kok harus daftar bikin akun baru lagi ? Kok harus isi data2 lagi ? Data2 yg bocor kemaren sudah terjual ? Padahal sebelumnya tinggal log in aja, kenapa aplikasi pedulilindungi reinkarnasi jadi satusehat ? Oh yang pasti pencetus aplikasi pedulilindungi sudah jadi orang kaya banget dong sekarang, didownload orang se indonesia, dan sekarang berganti label nama ke satusehat supaya satusehat kecipratan juga ? Dasar tenaga bisnis berkedok kesehatan."
ilhaamnau,Kalau nomer hp tidak terdaftar di whatsapp bagaimana cara mendapatkan verifikasi kodenya?
iraonees,Satusehat sy tdk bisa di buka ngebleng hanya gambar logo nya aj tidak ada petunjuk dan arahan dari aplikasi nya
hayaketos_02,Sertifikat booster 1 ga muncul... 😢😢😢
agus_haryanto_alee,kode verifikasi dikirim lwt wa.. emang semua nomer yg terdaftar pasti ada wa nya?? tolong ditinjau kembali.. kagak bisa login
franchia_arzhevaty,KAYAKNYA DARI SBLUM MIMIN POSTING NI SBLMNYA DI POSTINGAN UDH RATUSAN RIBUN IRG KOMPLAIN DI IG ANDA... YOLONG SOLUSI YAK..KACAU MAU ✈️✈️✈️ KERETA API NI SYARAT PERJALANAN... JAGAJAGA... TAPI TIKET DN SERTIFIKAT BOOSTER AKU DA orang orng PADA HILAMG
sucirahmadani6515,"Pak.. tolong dipercepat pengalihan akun satu sehat ke pcare bpjs pak,, kami dilapangan susah untuk menginput data ke bpjs"
flo_ren22,"Ini malah ga bisa di buka app nya, nge freeze"
mariastutidwi,Aplikasi ngak bisa dibuka cuma tampilannya ajaaaaaaa
joicelusiawatty,"No hp yg terdaftar di aplikasi peduli lindungi ngak aktif lagi wa nya, saya perbaharui ngak bisa karna otp kirim ke no lama saya ke wa ,gmh dong aktifin"
denkamso,"Di aplikasi SatuSehat ini nama di sertifikat berubah menjadi dua kata, gimana caranya benerin ya??? lalu  tiket booster kedua juga belum muncul padahal saya udah vaksin booster pertama itu tgl 02 April 2022, saya sih sudah suntik vaksin booster kedua (kata petugasnya tidak apa-apa nanti kalau sudah muncul tiketnya silahkan datang kembali untuk diinput)."
devipratiwi17,"Min, wa ny tlong dibls dong...mau vksin lo...tapi no tiket ny gk muncul 😭"
kehujanan.tapi.kepanasan._,"MIMIN TOLONG UDAH 3 HARI STUCK CUMA DILOGO AWAL APP, UDAH UNINSTALL INSTAL NYALAKAN NOTIF JUGA SAMA AJA"
pongekeren,Ga bisa masuk ke aplikasi nya.. Di WA bales an nya ga ada cs  ya 😢..
mariastutidwi,Mau naik pesawat jadi ribet aplikasi ngak bisa loging😢😢😢
refiabs,Apliaksi masih belum siap udah di migrasi @pedulilindungi.id
esw475,"Aplikasi gak bisa masuk,coba daftar juga gak bisa, bagaimana ini mohon bantuannya"
desuhardy,"Gak bisa dibuka, berhenti di tampilan awal. Sdh uninstall install ulang. Notifkasi on.. android-12"
pinokio_xlptk,"(1) Sudah di cLear cache , bs masuk ke menu. Keluar dari aplikasi, di klik aplikasi lagi hasilnya nge bug dan ngga bs ke menu. (2) Sudah di uninstal dan instal aplikasi, klik izinkan/ allow, bs masuk menu aplikasi, ketika keluar aplikasi dan klik kembali aplikasi lagi hasilnya nge bug ngga bs masuk ke menu aplikasi. (3) ketika sudah masuk menu aplikasi berisi vaksin dan imunisasi tidak bs di klik dan tidak berfungsi.  Nge bug melulu ngga bs ke menu, masih enak sebelum diupdate, kacau setelah diupdate, aplikasi ngga siap di edarkan ,,,,"
rudy.628,Nggak perlu banyak emble terbaru segala mudah kan aja login nya Uda
sikumbangcamrollss,tolong dong min cepet di perbaiki soalnya penting banget ini minnn
sikumbangcamrollss,dari tadi login ngestuck di satusehat terusss
mamasbulo,Ada yg sudah booster pertama tapi belum muncul sertifikat nya juga ga ya?
amien_al_faqih,@kemenkes_ri AJANG BISNIS MULU APLIKASI SEGALA DI GANTI.... PELAYANAN NYA AJA BLM BENER......😤😤😤😤
adhisutawan,🦅🇲🇨✨️😊☕️👍👍
pangirahayu,Untuk nomer paspor gimana kalau ga punya ? @pedulilindungi.id
sendi566,Mau login lari nya ke pengaturan terus.
umayaca,Trobel terus udah vaksin dosis 3 tapi tulisanya kok tetp 2
maidahanggun,"NIK sodara sy masih idup, kenapa ps mo downlod sertif dibilang meninggal? 😢 gmn caranya biar bsa didownload? Dlu pke pedulilindungi aja dah oke2 aman2 aja, skrg pake satusehat kok gitu 😌 @pedulilindungi.id"
bdtfzh,Minn gimana ceritanya tiket boster pertama belom keluar dari 2022😂
nungkip_,"Min sertifikat vaksin booster yang pertamaku belum keluar dari tahun lalu, helppp😢"
ch3n13,"Kalau datanya bukan data saya, gimana rubahnya ya?"
pai_yah,Apk kntl
honggz,UPDET UPDET NDASMU... SERTIFIKAT BOOSTER DL MUNCULKAN JGN JD KYK KELINCI KAMI SUNTIK2 GK MNCL GITU2 AJA KERJA KLEN NINJA KONOHA KORUP
lononaut,App does not work on iPhone as of today. Seems to have many bugs or issues on iPhone.
lononaut,App does not work on iPhone as of today. Seems to have many bugs or issues on iPhone.
zeni2056,Sudah  di tambah  belum ada
bilqis_azahra355,@pedulilindungi.id  tiket buat booster kenapa g ada? Padahal mau suntik
sahieel,"No hp hilang, email lupa...mau login otp nya ke kirim ke no yg lama...gmn solusinya??? @pedulilindungi.id"
achmad_sodok,Punya saya tdk bs d buka
setiowimbadi,ini masih berupa mockup atau sudah launching kah ?
triiejabat,Sertifikat booster 2 g muncul😇😇
supry579,Min mau tanya sertifikat vaksin boster ke dua kok belum muncul
kurniatrie_03,Tiket vaksinku kapan keluar ini haduh
restaprihastika,Aplikasiku ngelag min ga bisa cek sertifikat nih 🥲
habie_b,Konspirasi elite gelobooll kah
rurinsaf,"TIKET VAKSIN BOOSTER KENAPA GADA, PADAHAL MAU MUDIK INI😢"
novhamaharanie_nm,"🔥🔥🔥Kartu Imunisasi anak di aplikasi Satu Sehat kok malah jd gk muncul sich itu sertifikat Imunisasi anak saya jd gk ada,gimana nich❓️‼️❓️pdahal sblumnya di aplikasi peduli lindungi muncul. Bahkan di menu vaksin & imunisasi tdk ada menu imunisasi anak😵"
novi_agus88,Sertifikat ... vaksin bostr kedua ..masih belum muncul yaaa. ..yg punya aku
triwahyunika634,Kenapa tiket booster 1 ngga muncul min..butuh banget ini @pedulilindungi.id
virgogladis,sudah di update tapi tetep aja gagal downlod sertifikat vaksin
fqrindra,Di DM gak ada balasan juga
ellia_28,"Min gimana , TKI saya mau terbang mau perubahan sertifikat vaksin min. Mau nunggu sampe kpn"
fransiscatutiktutik,Saya sdh 5x mencoba di aplikasi dng kode diberikan unt melanjutkan sdh dimasukkan kodenya di jwb invalid melulu jd males mau update ke yg baru
ylm.yentiliemakeup,Kapan vaksin anak ada lagi ya????
lindapuspita2308,"Kode verifikasi tdk pernah di krm by sms,ini gimana solusinya min"
tyswm85,Ticket vaksin booster jadi hilang. Sangat mengecewakan
is.4julian,"versi 5.2.0 BERMASALAH MIN, STUCK DI LOGO SEMUA RATA2 ,BENERIN DULU BARU KOMEN MIN MALU TAU KOAR2 HAPUS INI INI INSTAL ULANG TAPI PADA PRAKTEKNYA NOL BESAR ,DIDUGA KERAS MAKAN GAJI BUTA NIH PEGAWAINYA PURA2 GAK TAU KELUHAN MASYARAKAT"
ads_faith,"Pagi min, min data sertifikat vaksin beda min! Gmna nih? Di wa kemenkes g bisa ."
ns.argan,Nomor aduannya sudah bukan di 119 lagi?
nnmpls_,Selamat pagi. Saya pradana mau bertanya. Aplikasi peduli lindungi saya setelah diupdate jadi otomatis terlogout. Dan diharuskan login kembali. Sedangkan nomor telepon yang lama kartunya sudah nonaktif. Jadi solusi agar saya bisa login kembali gmna ya?
erna_2007,@pedulilindungi.id kenapa di aplikasi saya NIK orang lain yang muncul..nama pakai nama saya tapi NIK nya orang lain..padahal di aplikasi peduli lindungi sebelumnya datanya sesuai..setelah update malah datanya berubah...
watasiwaviva,"GIMANA SIE INI SERTIFIKAT VAKSIN BOOSTER KE 2 SAYA TIDAK MUNCUL. APLIKASI TIDAK BISA DIBUKA. SMS LINK UNDUH SERTIFIKAT PUN TIDAK ADA. HUB HOTLINE WA & EMAIL TIDAK BERGUNA SAMA SEKALI GA DIJAWAB. WWWWOOOIIIIIII KEMENKES GIMANA INI, UPDATE BUKAN NYA MAKIN BAGUS MALAH MAKIN BURUK. INI APPS NYA GAK DI TEST DL APA SBLM DILEMPAR KE PUBLIK. NYUSAHIN TAAAAAUUUUU"
dussel5,Dmn bisa vaksin utk anak 6 thn.. sinovac kosong?
ahmad_andrea.925,@pedulilindungi.id sudah selesai blm perbaikan aplikasi nya. Ini gimana sertifikat vaksin boster saya blm keluar?
sheekimjulyy,"Min,kenapa gak bisa daftar lagi?? Apa krna ganti nomor?? Trus proses pergantian nomornya macam mana????"
chrisno.hertanto,Kenapa hrs isi nomer KTP? Tanpa isi nomer KTP tidak bs menambahkan anggota sedangkan anak blm punya KTP
almeedya_s,@pedulilindungi.id sertifikat gak muncul tiket gak ada di aplikasi satusehat
sandinayoone,Aplikasi gak bisa digunakan lebih baik uninstal.
trimartaningrum_,"Min kenapa sertifikat vaksin suami saya ngga ada y di aplikasi satu sehat? Udh nnya via wa dan email no respon dati admin nya, gimna nih"
apri1077,Sertifikat vaksin dah 3 kali sampai sekarang belum nongol juga
ellia_28,Min ini gmn ?saya sudah bbrpa kali email ke helpdesk@kemkes.go.id pengajuan perubahan
antonius.ss,"Sertifikat anak ga muncul, padahal sebelum dirubah sertifikatnya  muncul"
jackyjonatantully,Aplikasi nggak jelas.. Sudah hapus cache dan upgrade sama aja...bikin pising
inggridisabella456,Kalau mengajukan pertanyaan di wa balesnya lama sekali tidak memenuhi jawaban yang diminta
inggridisabella456,Jadinya bikin susah masyarakat
arindafebriany02,Butuh info CS buat perubhan data yang salah ni
zeni2056,Udah di tambah belum muncul sertifikat
itsmepngst_,Min @pedulilindungi.id tiket vaksin kedua punya temen saya kok belum keluar ya? Padahal jadwal vaksin pertama sudah melebihi 6 bulan
amiejie,"Aadduuhh,,, gak bisa ke buka satusehat, gitu aja... Proyek kemenkes lgi nih buat dpt duit... Masyarakat yg di rugikan klo gini"
amiejie,"Semua sama komplain nya,,,, kembalikan awal aja ooyyyyyy"
mang.mikrad,Sertifikat booster kedua hilang setelah update aplikasi
sharenayu,Cek dm ya min
komsiyah33,Mohon bantuannya min aplikaai Satu Sehat saya tidak bisa dibuka hanya gambar logonya saja udah di uninstall beberapa kali dan hapus cache tetap tidak bisa
ghandaja,"Mhn info utk satusehat hanya smp thn 1945, sdgkan orgtua sy lahir 23 juli 1942 ? Krn orgtua sy gak pegang hp, jd disatukan dg no hp sy di peduli lindungi. Ditunggu jawabannya ya di DM, mks"
erisamarlianii,"Sertifikat vaksin ke-2 ku ga muncul di apk, cuma muncul vaksin ke 1 aja :("
hadi.ali57,Apanya yang mau ditambahkan aplikasinya aja gak bisa jalan
ivan_921112,Thx  sertivkt booster kedua muncul👏👏. Min tolong jangan ada  lagi vaksin ya min ckup 4x aja
yantidjan,Sama
faiiz.am,"@pedulilindungi.id gimana ini di ios belom bissa di buka aplikasinya dah mau 1 minggu, udah gitu e tiket booster pada ilang"
nissaarryani,"Saya upgrade ke satu sehat kenapa sertifikat vaksin saya hilang & yg tampil hanya milik mertua? Di chat ga di bales, di tlp malah dimatikan tlp nya @pedulilindungi.id"
ellia_28,"Min , gimana saya sudah bbrpa kali email pengajuan perubahan sertifikat vaksin tp ga ada respon mom"
asngadahsri,Halo?
a_narolita,"Min, kalo muncul nama saya tapi no.NIK punya anak saya gimana? Sertifikat booster 2 saya juga gak muncul Trus gimana??? @kemenkes_ri @pedulilindungi.id"
khafadohsiti83,Tetep g bisa di buka aplikasiny
novi.lorensia,Sepertinya contact centre nya kualahan menanggapi banyaknya pesan yg masuk😅
bu_ita_yfky,"Alhamdulillah di ponselku sudah bisa mbuka sampai tahapan download sertifikat vaksin, sampai booster 2."
wiwi_anggra,"Halooo Min @pedulilindungi.id coba diinfo utk apps ini, harus minimal android/ ios berapa biar gak bermasalah? Dari semua comment hampir sama masalahnya. Inget lhoo Min @pedulilindungi.id , gak semua orang punya HP dengan versi android/ios terbaru."
moehdimy_,"@pedulilindungi.id untuk menu vaksinanasi dan imunisasi tidak bisa di klik bagaimana ini, saya butuh sertifikat vaksin jadi enggk bisa di download. Mana kagak ada cara lain lagi, udah nge wa ke kemenkes customer service nya belum bisa melayani anda. Hadeuhhh masa gini sih"
hasanhanif321,udah hampir dua minggu vaksin tapi sertifikat belum jga muncul gmna ya kek gni trs
vespamaticwow,CEPET PERBAIKI APLIKASINYA. SAYA BUTUH!!!!!!!!?
vespamaticwow,JANCOK APLIKASI GA GUNA
vespamaticwow,JANCOK APLIKASI GA GUNA
cikibolkeju,"Mau bikin keluhan tapi ga dibalas. WA ga dibalas sama sekali, chat DM instagram hanya di SEEN, email tidak dibalas. Data vaksin saya ada perbedaan setelah update pakai aplikasi baru ini @pedulilindungi.id"
d_alifhayyaz,Duh gimna sih dm wa not respon..
indriduganata,Min Beta Punya Tidak Bisa Di Buka Sampai Saat Ini Hanya Tampilan Logo SatuSehat & Tidak Bisa Di Buka Sama Sekali & Sampai Sekarang. Padahal Sertifikatnya mo di pakai Sekarang. Mohon Bantuannya @pedulilindungi.id
rizki_kristianto2410,Aplikasi ga bisa di buka
romisupriadi09,"Kalau no. Hpnya udh hangus gimana, gabisa login, pengen ganti nomor yg terdaftar gimana caranya min???"
pepen3411,Mengapa aplikasi satu sehat mobile ga bisa ke buka
deedays2020,Aplikasi saya tidak bisa dibuka. MOHON BANTUAN. karena saya membutuhkan aksesnyabuntuk bepergian k bandara dr Ln k Indonesia.
ardianto_s_daun,Tiket vaksin booster tidak muncul
danangfa88,"Intinya mah masih banyak yang belum bisa buka aplikasinya, tapi jawabanya tetep aja ngelak pake pertanyaan.. 😂 Lucu. Buktikan dulu dong udah berjalan dengan baik apa belum. Sudah sesuai untuk umum belum. Itu kan layanan umum. Mbok ya disesuaikan seperti aplikasi sebelumnya pedulilindungi bisa di akses siapa saja"
farhatulaa,Sudah di ikuti langkah nya kok blom ada ya sertifikat vaksin imunisasi anaknya padahal dulu di pedulilindungi sudah ad
username,komentar
mta1599,Bilang aja kalian ga mau mencabut status darurat pandemi di Indonesia beserta berbagai aturan yg membatasi seperti syarat vaksin maupun wajib masker
bunda_naufal_fathan_shireen,Vaksin booster susah banget di Bekasi 😢
ip_catering_malang,Halah........sampe saat ini...status vaksin saya ke 2 gak masuk2....
dondon.jpeg,Jadi gimana yg bener oiii
odok_2,Benerin dulu itu aplikasi nya Ga conect sama Pcare vaksin kata penjaga puskesmas nya udah vaksin belum keluar sertifikat nya
keluargapradiyon,Mohon Info vaksin anak untuk area BSD dan sekitarnya
indra_sangra,info vaksinasi dosis ke 4 dimana ya
refiabs,"Covid hanya flu biasa, dibesar2kan seolah2 mengerikan"
sceptrefleurdelys,"Mohon bimbingan petunjuk, agar Kami mengetahui dimana bisa Vaksin Booster, Di Kota Medan, sudah hampir 6 Bulan, kami tdk menemukan Vaksin Pfizer utk Booster"
wahyudixxi,Kemaren kata who udah bilang berakhir gimna si
nadyaasoray,"cek dm dong min, urgent banget soalnya ortu ku mau umroh dan sertifikat belum keluar di aplikasi😢"
huang_ai_ling,Uninstall
oliverjenz,"udah pernah kena, ga takut lagi... ga kerasa apapun"
agung.permadhi,Bedanya apa min? @satusehat_id
bowsayn,Msh jadi syarat perjalanan ga? @kemenhub151 ..mana vaksin anak ga ada kabar dr akhir tahun lalu @kemenkes_ri
pututekokertodiharjo_017,Bisa di stok lagi vaksinya untuk mengadakan gerai vaksinasi area kesehatan kota santri Jombang Jawa Timur Indonesia. 🙄🤔🤭☺️🙏
m_nopaldo,Min saya sudah dm tapi gak dibaca @satusehat_id
elementals_308,Booster pakai Pfizer udah ga ada... sekarang pakai Indovac... tapi di Kota Bandung masih belum ada...
herrywiyono8,permainan pejabat² konoha ...
hoosecha,Nah ini nih yg harusnya di paham in masyarakat gimana biar tetep patuhin protokol
alikin03,Berarti sudah bisa di uninstal dong
anonymous299164,Kaya gak rela bener sih min kalo pandemi kelar..oh y lupa ini kan ladang bisnis kalian ya..🤭😂
jihadrabbany,Ttp patuhi prokontol ya kawan²
ivnyyo,jadi sdh bebas dsr msker
habie_b,"Ane log in pake no hp, eh hp nya ilang sama kartu sim nya, gimana dong masa ane kudu vaksin 3x lagi biar bisa lihat sertifikat vaksin bisa jadi zombie kalo total vaksin 6 kali gara gara ilang simcard nya"
fer8z,"tolong bales dm , cepatttr"
bbassryy,Cek DM saya min
username,komentar
azooela,"Saya lebih cinta aplikasi PeduliLindungi ... Tidak memusingkan menunya, update mudah tidak bikin rudet hati hehe ini curahan hatiku min ... Pake hp android 12 susaaaaahhhh sudah uninstall, hapus cache dll, install lg gitu terus... Udah nyerah dulu sekarang mah 🙄"
linggommarpaung,"Tolong ya min, itu kontak gk usah dicantumin deh kalo gk bisa dapet informasi. Mau WA atau email, gk pernah dapat balesan yang bisa bantu masyarakat yang resah sama ketidak jelasan aplikasi dan data yang ngawur saat migrasi ke Satu Sehat."
buea_yudd,Belum ada update an + Tiket Vaksin ga keluar keluar ckck 😢
maulanaalgentengi,"Adminnya ini kok g balas keluhan dr pengguna aplikasi y, diem saja gak ksh solusi bagi hp android yang tidak bisa masuk menu"
ryanagus_2,"sertifikat booster blom muncul gimana min udah 1 thun lebih, mau ngadu harus kemana?"
kintan_16,"Admin sama saya di sertifikat vaksin salah, gimana cara perbaiki nya??? tolong banget bantu saya mau mudik ini😭😭😭"
jadukkkk,"Tiket vaksin booster 1 kapan keluar min, dari kemaren mau vaksin booster 1 ga bisa bisa. Mana lagi butuh."
eyanguti_ety,"Betul semua bisa dipakai tinggl buka ,di Bandara scan barkot ada cheklis ijo👍"
dimpleshahri05,Setelah update ga bisa di buka app ya kenapa nya bisa di bantu karena kalau bila perlu susah sekali nanti udah di coba uninstall install lagi ga bisa
alivio_df,Alhamdulillah udah punya 4-4 nya padahal pake hp redmi note 5 tahun 2018 an tapi bisa buka hehe
hsnlll,Percuma ada aplikasi udah booster tetep gak ada datanya
cikibolkeju,"Min, tapi nama vaksin saya berubah min. Jadi tidak diakui oleh negara tujuan buat yang akan ke luar negri.  @pedulilindungi.id sungguh merepotkan."
engineers8601,Mau vaksin booster tapi tiket vaksin boosternya blm keluar padahal sudah stahun dari vaksin dosis dua. Sudah wa dan email ke helpedak tetap aja ga ada respon @pedulilindungi.id
wiwi_anggra,"Halo Min @pedulilindungi.id, keluhan di sini hampir seragam semua, gak bisa login, blank, nge lag, dll. Sebenarnya apps ini bisa digunakan utk android/ ios versi berapa siih minimal? Apakah gak ada CS SocMed yg bisa bantu jawabin comment di sini?"
praditakhanzabella,"Saya udah email,saya via WA jg.tapi ga ada tanggapan yg benar nih.ini nomor login pedulilindungi saya udah non aktif alias hilang.dan belum sempat ganti nomor di aplikasi pedulilindungi nya nah skrg saya mau login ke satu sehat ini gimana caranya? Email udah minta data saya tapi ga ada kejelasan lebih lanjut nya lg.udah lebih seminggu an lo.gimana maksudnya ini wahai  @kemenkes_ri"
sandinayoone,Katanya ada versi lebih baru yaitu 5.2.1 eh rupanya hanya di ios(iphone) lah untuk android kapan min. Masa iya aplikasi hanya nonton logo ke logo saja
sy.a01.21,Sebenerny aplikasi di update tu fungsiny apa sih? Udh enak” peduli lindungi diganti satu sehat. Mau login aja nguras kesabaran. Udh login pake no hp/email ttp g dapet kode OTP ny pdhl udh dr subuh sy nyoba. Astaghfirullahaladzim.. niatny mau mempermudah tp malah semakin mempersulit. Chat di WA berkali” ttp balesanny “tidak dapat melayani”. Laaaahh fungsi cs ny apa coba? Gusti … gusti bikin stres pdhl sy ini ada kepentingan darurat lho. 😓😓😓
ekamuhbagus,Tapi punya saya kok gk bisa di unduh ya kak  sertifikat vaksinnya
ratnawatiyayuk,Lah yg Satu Sehat aja ga bisa dibuka gimana mau unduh sertifikatnya 😂
msod11_,Peduli lindungi data pada sertifikat bener. Giliran update ke satu sehat tanggal lahir melenceng jauh 😂. Ga ngerti lagi harus berkata apa
pawonhikmah,"3 kali vaksin , ganti hp donlotnlagi yg nongol cm 1 piyee iki😢😢"
diana.kiimmy,"Kenapa setelah ganti nama Aplikasi dari pedulilindungi menjadi SATUSEHAT, nomor tiket vaksin 3 booster 1 saya hilang??! Padahal sebelumnya ada, dan saya udah suntik vaksin 3 tapi gak masuk ke data sistem! Bagaimana ini? Saya mau flight dalam waktu dekat jadi gak bisa!!"
didietssetyabudi,"Mimin, tlg segera diperbaiki lagi, aplikasi satusehat tidak bisa dibuka mulai 3 hari lalu stlh update versi baru. Please🤦"
randii_456,Tiket blm muncul 😢😢😢😢😢 tolong min
adila.fasa,"Buka aplikasi ngga bisa, sertifkat booster ilang. Tolong dongg ini mau berpergian gimana yaa? Udah coba pake cara hapus data tetep ngga bsaa. @pedulilindungi.id"
andreanm07,"SEKELAS @kemenkes_ri + @kemenkominfo  GA PUNYA CUSTOMER SERVICE ? MINIMAL PUNYA 5X8 JAM , APLIKASI RUNGKAT JAUH DI BAWAH PEDULI LINDUNGI , GANTI NOMER DI PEDULI LINDUNGI KARENA NOMER KE BLOKIR BERHASIL EH MALAH BERUBAH SATUSEHAT DATA MALAH NGE ROLLBACK KE NOMER YG LAMA AUTO GA BISA LOGIN!!!"
ns.argan,"Call center nya mohon dimasukin ke 119 lagi, lebih profesional"
franchia_arzhevaty,Komen pertama di respon dengan sangat sayank y min... Tolong min mau✈️✈️ tiket dan sertifikat TDK muncul juga segera normalkan.. ribet min ..sedih incez ...
hasanhanif321,min ni lwat mana lagi ya nanya sertifikatnya udah 2 minggu blm muncul jga sertifikatnya
aarun_shah,yg jadi masalah....sampe saat ini aplikasi satusehat tetap saja gak bisa dibuka. stuck dihalaman depan aja terus
lusygsangary,Alhamdulillah sudah Min...
sonn_aa88,"Sudah uninstall, sudah clear data, clear cache tetep masih TIDAK BISA !!! Ribet bener ni app"
